Age group,3-Jan-20,10-Jan-20,17-Jan-20,24-Jan-20,31-Jan-20,7-Feb-20,14-Feb-20,21-Feb-20,28-Feb-20,6-Mar-20,13-Mar-20,20-Mar-20,27-Mar-20,3-Apr-20,10-Apr-20,17-Apr-20,24-Apr-20,1-May-20,8-May-20,15-May-20,22-May-20,29-May-20,5-Jun-20,12-Jun-20,19-Jun-20,26-Jun-20,3-Jul-20,10-Jul-20,17-Jul-20,24-Jul-20,31-Jul-20,7-Aug-20,14-Aug-20,21-Aug-20,28-Aug-20,4-Sep-20,11-Sep-20,18-Sep-20,25-Sep-20,2-Oct-20,9-Oct-20,16-Oct-20,23-Oct-20,30-Oct-20,6-Nov-20,13-Nov-20,20-Nov-20,27-Nov-20,4-Dec-20,11-Dec-20,18-Dec-20,25-Dec-20,1-Jan-21
Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 ,0 
01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,2 ,0,0,0,0,0 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,0 
15-44,0,0,0,0,0,0,0,0,0,0,0,1,2,23,28,41,41,19,21,13,9 ,3,8,6,3,1,5,2,0,1,1,0,1,2,1,0,1,1,1,0,2,5,3,7,4,13,11,15,12,8,8, 11 ,15 
45-64,0,0,0,0,0,0,0,0,0,0,0,4,27,161,277,344,288,182,121,104,75 ,54,57,30,29,19,7,9,10,10,8,7,5,5,3,5,4,5,9,15,15,19,37,41,80,93,78,101,92,93,120, 110 ,105 
65-74,0,0,0,0,0,0,0,0,0,0,1,11,35,232,418,518,458,299,207,203,102 ,111,96,57,39,33,36,26,19,24,12,14,10,7,5,5,9,10,10,24,27,46,68,94,133,169,167,172,191,172,173, 193 ,210 
75-84,0,0,0,0,0,0,0,0,0,0,2,13,74,498,905,"1,223",1200,935,608,533,398 ,302,224,174,123,90,77,43,32,27,27,22,16,25,11,10,10,15,27,50,65,112,160,231,322,372,410,458,455,401,427, 429 ,456 
85+,0,0,0,0,0,0,0,0,0,0,0,17,99,588,"1,056","1,923",2107,"1,782","1,245","1,232",863 ,552,474,328,234,148,140,98,75,48,41,38,42,36,18,14,20,41,42,57,87,138,211,311,447,639,655,755,688,703,782, 697 ,810 
