Age group,8-Jan-21,15-Jan-21,22-Jan-21,29-Jan-21,5-Feb-21,12-Feb-21,19-Feb-21,26-Feb-21,5-Mar-21,12-Mar-21,19-Mar-21,26-Mar-21,2-Apr-21,9-Apr-21,16-Apr-21,23-Apr-21,30-Apr-21,7-May-21,14-May-21,21-May-21,28-May-21,4-Jun-21,11-Jun-21,18-Jun-21,25-Jun-21,2-Jul-21,9-Jul-21,16-Jul-21,23-Jul-21,30-Jul-21,6-Aug-21,13-Aug-21,20-Aug-21,27-Aug-21,3-Sep-21,10-Sep-21,17-Sep-21,24-Sep-21,1-Oct-21,8-Oct-21,15-Oct-21,22-Oct-21,29-Oct-21,5-Nov-21,12-Nov-21,19-Nov-21,26-Nov-21,3-Dec-21,10-Dec-21,17-Dec-21,24-Dec-21,31-Dec-21
Under 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
01-14,2,0,1,0,0,0,0,1,1,1,0,0,0,0 ,0 ,0 ,0,0,0,0,0,0 ,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,2,1,0,2,0,2,0,1,0
15-44,25,39,29,39,41,32,27,22,21,14,4,5,8,7 ,9,0,2,0,4,0,1,4 ,3,1,3,6,3,3,6,7,20,12,6,11,7,11,10,17,21,7,10,9,10,11,12,12,14,7,13,11,17,7
45-64,257,304,372,357,320,244,221,173,134,98,70,57,35,30 ,25,23,13,10,12,6,10,15 ,9,10,8,13,18,28,26,31,36,51,53,60,53,62,73,75,62,44,55,54,60,65,65,68,59,50,58,71,61,55
65-74,426,477,556,564,460,388,311,234,154,111,80,50,24,26 ,30,24,12,9,17,13,9,8 ,7,10,6,8,13,19,32,38,48,45,38,50,53,68,92,91,84,64,68,70,75,103,95,87,85,72,80,68,84,49
75-84,924,"1,081","1,165","1,165","1,018",778,579,379,260,188,120,90,52,49 ,41,26,35,12,17,12,7,15 ,12,15,9,14,30,32,39,45,53,74,88,93,84,96,133,121,113,89,119,108,126,156,133,122,111,112,138,95,88,83
85+,"1,442","1,774","2,193","2,249","1,956","1,415",952,705,464,333,196,159,89,62,78,43,40,19,30,21,12,16 ,10,16,9,18,29,36,56,75,80,89,84,102,128,147,160,186,142,123,131,159,174,180,180,146,120,127,125,127,136,89
